,异常类型,异常类型细项,问题现象,故障组件,形成原因,形成原因细类,原因分析,故障处理过程
121,信息系统运行异常,系统非计划停运,"2月26日19:10-19:40，国网信通调度监控发现国网英大证券ERP系统IMS健康运行时长和在线用户数指标缺失，英大证券协同办公IMS健康运行时长和在线用户数指标缺失，URL探测异常。
",基础环境,运行维护不当,机房停电,机房停电,恢复供电系统恢复
122,信息系统运行异常,不影响用户使用但系统有告警,8月13日00:00，国网信通调度监控发现直属单位企业门户系统相关单位IMS健康运行时长及在线用户数指标中断，URL探测正常。1:00，经重启直属单位门户系统IMS采集接口后,主机,运行维护不当,存储空间满,经重启直属单位门户系统IMS采集接口后，系统指标恢复正常。经查，故障原因为，IMS系统取数接口所属服务器磁盘空间不足，无法将取得的数据正常推送至IMS总线，导致指标中断。后续将通过定期上报检修重启与清理日志方式进行消缺。,0
123,信息系统运行异常,不影响用户使用但系统有告警,8月1日23:05-23:40，国网信通调度监控发现国网山东电力营销应用系统I6000监控异常。期间，系统健康运行时长指标中断，在线用户数及URL探测正常。,数据库软件,运行维护不当,代码逻辑缺陷,期间，系统健康运行时长指标中断，在线用户数及URL探测正常。经查故障原因为：营销应用系统I6000接口指标取数出现延时问题。山东最近抄表核算业务集中处理，每月分散抄表业务集中到月初进行处理(接营销部通知)，8月1号晚上大量自动化抄表及数据准备业务job在跑，同时山东公司费控业务近期大量增长，达到2300万户，晚上低压非居民费控策略解析任务高并发运行。导致营销在查询数据库获取健康运行时长指标出现延时，再向I6000发送指标数据时健康运行时长指标缺失，运维工程师调整了job运行时间，同时，重启了接口服务后，指标恢复。,
124,信息系统运行异常,不影响用户使用但系统有告警,12月22日7:15，国网信通调度监控发现总部云终端系统IMS健康运行时长及在线用户数指标缺失，已组织运检中心开展排查处置。,应用软件,运行维护不当,代码逻辑缺陷,经查，故障原因为云终端系统版本较低，IMS接口程序运行机制不完善，主节点通过PowerShell获取指标的程序阻塞，未自动切换至备节点，导致系统IMS指标中断。后续将定期重启云终端IMS接口程序，并通过检修升级云终端系统版本。,
125,信息系统运行异常,不影响用户使用但系统有告警,8月13日00:00，国网信通调度监控发现直属单位企业门户系统相关单位IMS健康运行时长及在线用户数指标中断，URL探测正常。1:00，经重启直属单位门户系统IMS采集接口后,主机,运行维护不当,存储空间满,经重启直属单位门户系统IMS采集接口后，系统指标恢复正常。经查，故障原因为，IMS系统取数接口所属服务器磁盘空间不足，无法将取得的数据正常推送至IMS总线，导致指标中断。后续将通过定期上报检修重启与清理日志方式进行消缺。,
126,信息系统运行异常,系统部分功能非计划不可用,"2月14日9:51，国网信通调度接到7186申告，辽宁、黑龙江、北京公司部分用户使用协同办公系统发送公文，提示“查询路径异常”错误。
",中间件,软件设计缺陷,程序包缺陷,1月27日协同办公系统开展了JAVA反序列化漏洞整改检修，此检修补丁包在更新过程中影响了中间件JDBC驱动程序的加载及生效顺序和Clob字段转换相关设置，影响到Clob字段的转换，导致流程引擎一区部分应用服务节点报出Clob字段转换错误，部分用户使用协同办公系统发送公文失败。,修改Weblogic中间件的数据源配置，屏蔽补丁升级后Weblogic自带的“包装数据类型”功能，Clob字段转换正常，系统使用恢复正常。
127,信息系统运行异常,信息系统侧IMS接口非计划不可用,3月9日22:55-23:30，国网天津公司云终端系统监控状态异常。期间，系统URL探测异常，健康运行时长及在线用户数指标正常。,主机,运行维护不当,内存溢出,经查，故障原因为系统单节点脚本运行时间过长，JAVA内存占用过多，且URL探测中只添加了该节点，所以导致页面探测出现异常。通过手动清理内存后，系统指标恢复正常。,通过手动清理内存后，系统指标恢复正常。
128,信息系统监控接口异常,不影响用户使用但系统有告警,11月10日08:15，国网信通调度监控发现中电装备财务管控系统健康运行时长及在线用户数指标中断，URL探测正常。08:40，经调度重启I6000接口服务后，系统监控指标恢复正常。,主机,运行维护不当,内存溢出,"10日08:40，经调度重启I6000接口服务后，系统监控指标恢复正常。经查，具体原因为由于JVM内存资源不足，造成I6000接口服务自动关闭，导致监控指标中断。后续将通过定期健康性维护重启，以及对服务器硬件资源扩容进行消缺。
",
129,信息系统运行异常,系统部分功能非计划不可用,5月26日6:53，国网信通调度接到申告，“通过95598业务支撑系统查询工单信息时，录音文件无法显示。”已组织运检中心开展排查处置。,应用软件,软件设计缺陷,程序包缺陷,95598业务系统版本发布中，涉及[历史工单详细信息]中受理环节录音展示功能存在缺陷，引发系统异常。简报：经查，故障原因为26日00:00-06:00开展的95598业务系统检修使用的程序包存在缺陷所致。,研发厂商给出解决问题的补丁包，将补丁包部署在所有应用节点上，系统使用恢复正常。
130,信息系统运行异常,不影响用户使用但系统有告警,4月27日3:00-3:25，国网福建电力PMS2.0系统监控状态异常。期间，系统健康运行时长及在线用户数指标中断，URL探测正常,数据库软件,软件设计缺陷,SQL语句不合理,经查，故障原因为PMS系统进行基层班组业务数据导入工作，导致数据库负载较大，监控指标取数异常，导入操作完成后，系统恢复正常。,0
131,信息系统运行异常,不影响用户使用但系统有告警,4月25日07:10，国网信通调度监控发现国网鲁能集团财务管控系统健康运行时长及在线用户数指标指标缺失，URL探测正常。,应用软件,运行维护不当,进程异常,经查能集团财务管控系统包含三台应用服务器，8个weblogic应用节点。IMS系统通过总分发节点向weblogic应用节点获取监控指标，由于其中一应用节点内存溢出且IMS请求分发节点未向下一个应用节点轮询，导致IMS指标中断。重启该节点后，指标恢复正常。期间财务管控系统应用未受影响。,0
132,信息系统监控接口异常,信息系统侧IMS接口非计划不可用,1月17日22:30-18日0:50国网北京电力计量资产系统监控状态异常。期间，系统健康运行时长及在线用户数指标中断，URL探测正常。,主机,运行维护不当,原因不详细,"经查，故障原因为系统管理员连接服务器响应较慢，因此自行重启服务器，导致部署于两台服务器的应用服务同时中断，进而IMS相应的监控指标中断。经运维人员重新启动计量资产全寿命周期系统后指标恢复正常。国网北京电力将加强对服务器性能的监控，提高运维人员对运行安全事件的处理效率，加强服务器管理员与运维人员沟通。
",新启动计量资产全寿命周期系统
133,信息系统监控接口异常,系统部分功能非计划不可用,12月19日00:30-05:05，国网技术学院财务管控系统监控异常，期间健康运行时长及在线用户数指标中断，URL探测异常。,数据库软件,运行维护不当,数据库表空间满,经查，由于SHARED_POOL共享池空间里的缓存数据没有释放。导致空间不足，无法继续执行其它SQL语句，IMS相关指标存入数据库失败。通过手工执行清空SHARED_POOL共享池缓存，使抽取指标的数据可以正常存入数据库表中，系统指标恢复正常。,
134,信息系统运行异常,业务应用级联贯通不可用,8月23日12:00-12:35，国网甘肃电力所有系统监控异常。期间，系统健康运行时长及在线用户数指标中断，URL探测异常。甘肃本地所有监控状态正常，,中间件,运行维护不当,中间件数据库连接数满,经查，原因为甘肃公司22日系统检修时，应用服务器webservice中间件系统用户连接数参数设置过小，导致级联请求超时。,
135,信息系统运行异常,不影响用户使用但系统有告警,3月28日00:00-00:25，国网信通调度监控发现国网冀北电力营销应用系统IMS健康运行时长及在线用户数中断，URL探测正常。,数据库软件,运行维护不当,cpu负载高,经查，故障原因为IMS接口服务首选节点CPU与内存占用资源过高，造成IMS接口服务处于假死状态，IMS服务无法及时响应，负载均衡未及时将IMS接口服务切换至备选节点上，导致IMS系统运行时长中断，经清理缓存后监控恢复正常。营销应用系统共有20个节点，业务未受影响。,0
136,信息系统监控接口异常,信息系统侧IMS接口非计划不可用,1月1日00:05-00:15，国网天津、吉林、宁夏电力，00:05-01:40，国网湖北电力，00:05-09:20，国网北京电力，00:05-09:45，国网蒙东电力，02:10-10:10，国网浙江电力营销稽查系统监控状态异常。,主机,软件设计缺陷,代码逻辑缺陷,"IMS需要从营销稽查监控系统调取日和月的业务指标, 但该系统应用程序日期逻辑判断错误（1.303版本存在该问题）,使得相关指标无法正常提供给IMS系统",各网省更新总部紧急发布的补丁包后，指标恢复正常。
137,信息系统接口异常,系统告警但不影响用户使用,10月9日5:50-6:55，国网信通调度监控发现国网重庆电力外网网站系统监控状态异常。期间，系统健康运行时长中断，URL探测正常。,网络,软件设计缺陷,网络,故障原因是由于I6000取数服务双机检测机制缺陷，导致在外网主采集服务器网卡故障导致该采集服务器状态假死时，未能自动切换到备机采集服务上，导致指标异常。,0
138,信息系统运行异常,不影响用户使用但系统有告警,2月29日11:15，国网信通调度监控发现安监一体化系统IMS健康运行时长及在线用户数指标中断，URL探测正常，同时接到7186申告，安监一体化系统页面正常，但登录后报错。经查，初步原因为数据库账号被锁定，11:50完成账号解锁操作， 13:20经7186验证，系统恢复正常,数据库软件,运行维护不当,license过期,数据库用户账号到期被锁定，导致系统应用及IMS无法读取数据库数据。,运检中心完成用户账号解锁操作，系统恢复正常。
139,信息系统运行异常,系统部分功能非计划不可用,2月15日20:45，中兴财务管控系统IMS健康运行时长及在线用户数指标缺失，URL探测正常。,主机,运行维护不当,线程满,中兴财务管控在短时间内上传大量决算数据至一级财务管控系统，导致应用节点出现假死状态，未自动切换到正常节点,手动切换到正常节点
140,信息系统运行异常,不影响用户使用但系统有告警,10月17日09:20，国网信通调度监控发现督查工具分析平台系统健康运行时长及在线用户数指标缺失，11:05，URL探测异常。11:45，启动数据库网关服务，并重启所有应用节点后，系统运行恢复正常。,数据库软件,运行维护不当,节点异常,数据库上的mysql-proxy进程异常导致keepalive网关服务停止，从而导致应用服务无法连接数据库和IMS监控指标中断。,重启数据库网关服务（keepalived）和应用节点后，系统恢复正常。
141,信息系统运行异常,信息系统侧IMS接口非计划不可用,"3月29日17:05-18:05，国网北京公司TMS系统监控异常。
",主机,运行维护不当,内存溢出,经查，故障原因为应用系统pi3000服务的weblogic配置文件中给出的可占用内存值过大导致一个应用节点内存溢出，但其服务端口仍处于监听状态，即接口服务仍存活，所以F5未出现切换动作。重启故障节点应用服务后，系统指标恢复正常。,重启故障节点应用服务
142,信息系统运行异常,系统非计划停运,2月7日15：15至16：27国网信通调度监控发现中国电力人才网页面无法正常打开。,主机,运行维护不当,CPU负载高,原因为缓存服务器CPU占用率太高,重启缓存服务器
143,信息系统运行异常,不影响用户使用但系统有告警,"国网信通调度监控发现总部数字档案馆系统IMS健康运行时长和在线用户数指标缺失。
",网络,软件设计缺陷,网络,2月28日9:05-9:25，国网信通调度监控发现总部数字档案馆系统IMS健康运行时长和在线用户数指标缺失，URL探测正常。经查，故障原因为数据库服务器心跳通信异常，导致数据库集群状态不同步，致使数据库实例短暂无法连接，进而影响IMS接口程序取数。计划通过检修消缺。（已反馈故障报告）,0
144,信息系统运行异常,不影响用户使用但系统有告警,5月23日20:25，总部电力市场交易系统URL探测中断，IMS健康运行时长及在线用户数指标正常。20:50，经运检中心重启应用节点后，URL探测恢复正常。,中间件,运行维护不当,检修操作不当,为了消除总部电力市场交易系统单节点隐患，运检中心拟重新部署另一应用节点，在部署的过程中没有修改新加服务器Weblogic端口号（9001，与原服务器端口相同），在启动新加服务的weblogic后，服务请求被分发到新服务器的节点上，但是当时新加服务器还未部署应用程序，造成探测异常。,更改新加服务器上Weblogic端口号（由9001改为9005）后，系统恢复正常。
145,信息系统监控接口异常,不影响用户使用但系统有告警,7月16日14:20，国网信通调度监控发现总部云终端系统IMS健康运行时长及在线用户数指标中断。15:20，经运检中心重启IMS接口服务后，指标恢复正常。,应用软件,运行维护不当,归档空间满,10.1.161.7服务器上接口软件为tomcat，因长时间运行导致IMSDataPickerService服务与IMSCallPSService服务运行时产生日志过多，服务卡死，不能正常返回IMS指标数据，IMS未调用10.1.161.8进行切换，导致IMS指标中断。,重启10.1.161.7上的tomcat软件后，IMS访问正常且返回结果。
146,信息系统运行异常,不影响用户使用但系统有告警,3月2日10:25-10:45，国网宁夏电力所有系统监控状态异常。期间，系统在线用户数及健康运行时长正常，URL探测中断,网络,运行维护不当,应用端数据库连接数满,期间，系统在线用户数及健康运行时长正常，URL探测中断，经查，故障原因为故障时段流量瞬间剧增导致网络阻塞，数据库主节点无法访问，HA集群模式引发备用接管，从而造成URL探测中断,0
147,信息系统运行异常,系统部分功能非计划不可用,4月13日11:04，国网信通调度接技术保障中心申告，7186客户服务热线无法呼入和呼出。12:00，经重启SIP服务后，与技术保障中心验证，系统恢复正常。故障期间，通过采取应急措施，将7186转接至应急固定话机，确保客户服务热线拨打正常。,应用软件,软件设计缺陷,代码逻辑缺陷,SIP Server目前版本为8.1.101.88 ，存在连接不释放问题。SIP Server服务器TCP连接未释放，新的请求会创建一个新的连接，导致TCP连接数量不断增加。每个服务请求均会占用CPU资源，最终使得CPU使用率增长至99%，从而引发SIP服务所在服务器不可用，用户无法正常呼入呼出。,重启SIP Server主备服务。
148,信息系统运行异常,系统部分功能非计划不可用,4月11日16:20，国网信通调度监控发现外网邮件系统无法正常登录，同时接到南瑞用户申告外网邮件登录异常。17:05，经运检中心重启应用服务后，系统登录恢复正常,应用软件,运行维护不当,文件损坏,MS模块通过调用mmap函数在内存中读写到损坏文件，产生SIGNAL 7( SIGBUS)信号，但mssvr进程重启过程中发生死锁故障，导致MS模块重启失败，WEBAPP、POP等相关模块请求出现异常，用户登录、用户客户端收信出现异常。,"手动重启MS模块所在服务后，MS模块以及其他高可用模块切换到备机。
"
149,信息系统运行异常,网络非计划停运,7月30日22:15--31日00:40，国网信通调度监控发现国网浙江电力外网网站系统I6000健康运行时长指标中断，URL探测正常。,网络,运行维护不当,检修操作不当,经查原因为：按G20峰会安全要求，保证公司不出现信息安全泄密事件，国测中心建议对互联网出口采取控制措施，经浙江公司领导同意后，于7月29日上午在公司互联网出口的行为审计设备上下发访问控制策略及URL地址过滤策略，致使I6000取数服务器和外网网站服务器之间通信失败，I6000无法正常获取数据，监控指标异常。,0
150,信息系统运行异常,不影响用户使用但系统有告警,7月24日01:15-03:10，国网辽宁电力营销稽查系统I6000监控状态异常。期间，I6000系统健康运行时长及在线用户数指标缺失，URL探测正常。,主机,运行维护不当,内存溢出,经查，故障原因为由于对业务数据量预估不足，在程序中进行频繁的java对象和变量的循环创建，垃圾回收机制无法及时回收对象和变量占有的内存，造成内存泄露，导致I6000指标无法正常调用。,0
151,信息系统运行异常,不影响用户使用但系统有告警, 7月4日15:35-16:45，国网信通调度监控发现国网辽宁电力内网移动应用支撑系统异常。期间，系统URL探测异常，健康运行时长指标及在线用户数指标缺失。,数据库软件,运行维护不当,license过期,经查，故障原因为数据库oracle 11g用户密码超期失效导致应用无法连接到数据库。数据库部署时，用户密码默认时限为180天，超出时限。由于数据库用户密码失效，数据库用户不能正常登陆读取数据，造成URL探测中断。,
152,信息系统运行异常,不影响用户使用但系统有告警,8月1日15:05，国网信通调度监控发现直属单位所有系统IMS健康运行时长及在线用户数指标中断，URL探测异常，系统可正常访问。,主机,运行维护不当,原因不详细,15:40，经运检中心重启直属单位IMS系统数据库后，除各直属单位人资管控系统监控指标外，其余系统监控指标及URL探测均恢复正常。15:50，经运检中心重启人资管控IMS接口服务后，人资管控系统监控指标及URL探测恢复正常。,
153,信息系统运行异常,不影响用户使用但系统有告警,"1月15日6:00-6:30，国网信通调度监控发现总部营销基础数据平台IMS健康运行时长及在线用户数指标缺失，URL探测正常。
",应用软件,运行维护不当,未反馈故障报告,0,国网信通调度重启故障应用节点后，指标恢复正常。
154,信息系统运行异常,信息系统侧IMS接口非计划不可用,3月11日02:55-03:15，冀北电力公司ERP系统监控状态异常。期间，系统URL探测异常，健康运行时长及在线用户数指标正常。,主机,运行维护不当,线程满,冀北公司为了完成数据治理工作，批量上传电子文件，ERP系统应用服务器因电子文件接口上传程序产生大量临时文件，造成ERP应用服务器日志空间满，导致系统运行缓慢，出现主页间歇性无法打开。清理日志空间后系统恢复正常。,清理日志空间后系统恢复正常。
155,信息系统运行异常,不影响用户使用但系统有告警,7月8日21:30-22:30，国网信通调度监控发现国网新源公司ERP系统监控状态异常。期间，系统健康运行时长及在线用户数指标异常，URL探测正常。,主机,操作不当等问题,检修操作不当,期间，健康运行时长及在线用户数指标异常。经查，故障原因为值班人员将IMS系统主服务器系统时间与国网时间源服务器同步对时后，企业门户、ERP系统接口程序出现异常，导致指标中断，重启IMS接口后指标恢复正常。（合并处理）,
156,信息系统运行异常,业务应用级联贯通不可用,3月8日15:00-15:30，国网浙江电力PMS2.0系统监控状态异常。期间，系统健康运行时长指标中断，在线用户数指标及URL探测正常。,网络,软件设计缺陷,代码逻辑缺陷,"经查，故障原因为,新试运行的I6000系统取数机制存在缺陷，在I6000系统从业务系统取数时间超过I6000级联数据取数时长时，出现本地I6000系统监控指标正常，总部I6000系统数据级联数据缺失的情况。已组织I6000项目组进行消缺。",0
157,信息系统运行异常,网络非计划停运,7月26日17:05-18:20，国网信通调度监控发现国网重庆公司外网网站监控状态异常。期间，系统健康运行时长指标缺失，URL探测正常。,数据库软件,运行维护不当,线程满,期间，系统健康运行时长指标缺失，URL探测正常。经查故障原因为运维人员未及时更新取数服务的隔离装置驱动jar包，项目组在外网部署了外网I6000采集模块，也需要通过隔离装置连接内网I6000数据库，导致隔离装置并发连接数突然增大，连接内网数据库时突然抛出了空指针异常，导致程序没法捕获，转发内网数据库的线程崩溃，外网网站监控指标丢失。通过把该隔离装置驱动jar包刷新到最新版本，并重启服务后，故障排除。,0
158,信息系统运行异常,不影响用户使用但系统有告警,6月22日19:40-22:00，国网信通调度监控发现国网河南公司MDS系统监控异常。期间，系统健康运行时长指标异常，20:40，在线用户数指标开始中断，URL探测正常。,数据库软件,软件设计缺陷原因,数据库bug,期间，系统健康运行时长异常，20:40系统在线用户数及健康运行时长指标中断。经查，故障原因为Oracle数据库Bug4518443引起非集群Oralce监听异常导致外围系统或客户端无法连接，但数据库自身正常运行。异常的双监听造成IMS应用接口服务连接数据库失败，从而导致指标数据中断，重新启动数据库监听程序后，指标恢复正常。,
159,信息系统运行异常,不影响用户使用但系统有告警,7月13日22:30-14日8:45，国网中电装备协同办公系统监控状态异常。期间，系统健康运行时长及在线用户数指标缺失，URL探测正常。,基础环境,设备日常损坏,空调故障,期间，系统健康运行时长及在线用户数指标缺失，URL探测正常。故障原因为由于机房空间条件限制，仅安装了单机空调，出现故障，导致机房温度升高，服务器自动关机，使IMS系统监控到协同办公系统在线用户数与运行健康时长的缺失。因为IMS系统里面配置了协同办公Domino地址，IMS系统不间断的ping Domino服务器IP，如果Domino正常运行，URL就能探测到数据；IMS系统收到的在线用户数和运行健康时长的数据是通过IMS报送服务每五分钟从Domino抽取的数据。由于服务器只有一台自动关闭，这一台上面部署的是统一用户和IMS报送服务，导致数据无法报送至IMS系统。由于Domino服务器正常运行，URL探测服务正常。所以数据并不是完全缺失。,0
160,信息系统运行异常,不影响用户使用但系统有告警,7月13日18:40-20:20，国网吉林电力TMS系统监控状态异常。期间，系统URL探测指标异常，健康运行时长与在线用户数指标正常。,主机,运行维护不当,内存溢出,经查，故障原因为服务器内存负载过高，探测服务JVM参数设置较小，造成程序内存溢出，导致探测服务出现异常。重新配置探测服务程序的JVM参数，并重新启动探测服务后系统恢复正常。,重新配置探测服务程序的JVM参数，并重新启动探测服务后系统恢复正常。
161,信息系统运行异常,不影响用户使用但系统有告警,2月16日16:20起，国网信通调度监控发现知识管理系统IMS健康运行时长、在线用户数和URL探测指标间歇性异常，系统运行缓慢。,数据库软件,运行维护不当,用户恶意登录,"经排查，故障原因为：1、由于SQL语句执行效率低，当大量用户集中访问时，消耗大量系统资源，导致系统异常，27日已通过检修优化业务逻辑及SQL语句执行效率；2、由于服务器设备老旧，影响数据库运行性能，目前已申请新服务器资源，计划两会后开展系统迁移工作；3、用户使用工具进行恶意登录以刷取用户活跃率指标，占用系统大量资源，影响其他用户使用，27日已通过检修在程序上对用户访问行为设置了限制条件。
",通过检修解决
162,信息系统运行异常,不影响用户使用但系统有告警,"3月22日9:45，国网信通调度监控发现总部电子商务平台健康运行时长及在线用户数指标缺失，URL探测正常。
",数据库软件,运行维护不当,cpu负载高,"经查，故障原因为电子商务平台更新数据的SQL语句执行造成数据库集群等待时间过长和IO读写频率过高，语句单次执行时间超时，导致指标中断。计划在后续版本升级的检修中，对语句问题进行修复。
",0
163,信息系统运行异常,不影响用户使用但系统有告警,"5月8日6:15，国网安徽所有系统IMS监控状态异常。期间,IMS监控指标中断，I6000指标及系统探测正常。",数据库软件,运行维护不当,进程异常,期间，安徽公司所有系统IMS指标异常，I6000指标正常未告警，已联系安徽公司进行处理，经查故障原因为IMS系统监听进程僵死。使用kill命令直接清除僵死进程，之后使用srvctl集群操作命令启动监听进程后，系统指标恢复正常。,0
164,信息系统运行异常,系统部分功能非计划不可用,4月19日18:55，国网信通调度接到电子商务平台业务运维申告，部分用户使用专家管理模块及部分供应商做资质业绩核实操作时系统响应缓慢。19日23:54，通过紧急抢修完成消缺，待20日联系用户进行验证。,应用软件,软件设计缺陷,代码逻辑缺陷,程序代码缺陷。,通过紧急抢修完成代码消缺。
165,信息系统运行异常,不影响用户使用但系统有告警,7月8日21:30-22:30，国网信通调度监控发现国网新源公司ERP系统监控状态异常。期间，系统健康运行时长及在线用户数指标异常，URL探测正常。,主机,运行维护不当,检修操作不当,期间，健康运行时长及在线用户数指标异常。经查，故障原因为值班人员将IMS系统主服务器系统时间与国网时间源服务器同步对时后，企业门户、ERP系统接口程序出现异常，导致指标中断，重启IMS接口后指标恢复正常。（合并处理）,0
166,信息系统运行异常,不影响用户使用但系统有告警,5月24日18:00-18:30，国网湖南电力所有系统监控状态异常。期间，所有系统在线用户数及健康运行时长指标异常，URL探测中断。,主机,设备日常损坏,内存故障,期间，IMS所有系统健康时长及在线人数指标中断，系统探测异常，经查故障原因为IMS数据库2号节点由于内存板故障导致死机，造成1号节点大量未提交事务需要回滚，IMS数据入库程序和级联程序卡滞，恢复2号节点后，系统指标恢复正常。,0
167,信息系统运行异常,不影响用户使用但系统有告警,2016年1月13日8:25-8:45，20:30-20:55，国网信通调度监控发现总部数字档案馆系统健康运行时长及在线用户数指标缺失，URL探测正常。,主机,运行维护不当,数据库表空间满,数据库日志满，造成数据库自动重启及监控指标中断,系统自动恢复。
168,信息系统运行异常,不影响用户使用但系统有告警,8月23日08:30，国网信通调度监控发现统一权限MQ节点告警，同时接到申告协同办公、ICS等系统登录缓慢。12:25，经运检中心应急处置后，统一权限系统恢复正常，协同办公、ICS等系统登录恢复正常。,数据库软件,软件设计缺陷原因,数据库bug,统一权限认证数据库的存储链路发生局部抖动，导致该数据库单节点IO异常，数据库读写缓慢；同时统一权限应用程序中存在的高耗时SQL语句，加剧了数据库全局缓冲热块冲突；该冲突在IO异常情况下增加了数据库lmon进程压力，触发了Oracle Bug:12847466，该bug引起lmon进程性能大幅下降，导致数据库服务异常，最终导致统一权限认证应用服务异常。,
169,信息系统监控接口异常,IMS数据级联贯通非计划中断,1月11日12:30-15:50，国网中电装备公司协同办公系统监控状态异常。期间，健康运行时长及在线用户数指标中断，URL探测间歇性异常。,网络,设备日常损坏,交换机,故障原因为中电装备公司的一台楼层交换机光模块故障， 而中电装备公司协同办公系统报送IMS数据的服务器通过该交换机光模块发送数据，造成IMS监控指标异常。,经运维人员更换光模块后，告警消除，系统恢复正常。
170,信息系统运行异常,信息系统侧IMS接口非计划不可用,3月11日02:55-03:15，冀北电力公司ERP系统监控状态异常。期间，系统URL探测异常，健康运行时长及在线用户数指标正常。,主机,运行维护不当,线程满,冀北公司为了完成数据治理工作，批量上传电子文件，ERP系统应用服务器因电子文件接口上传程序产生大量临时文件，造成ERP应用服务器日志空间满，导致系统运行缓慢，出现主页间歇性无法打开。清理日志空间后系统恢复正常。,清理日志空间后系统恢复正常。
171,信息系统运行异常,系统部分功能非计划不可用,3月3日11:20-14:31，中电装备协同办公系统监控状态异常。期间，协同办公系统健康运行时长及在线用户数指标中断，URL探测正常。,主机,设备日常损坏,基础环境,经查，由于机房空间条件限制，仅安装了单机空调，空调故障导致机房温度升高，IMS接口服务器自动关机，机房温度恢复正常后，重启服务，系统指标恢复正常。,重启服务
172,信息系统运行异常,不影响用户使用但系统有告警,11月2日13:05-13:35、14:20-18:20，国网信通调度监控发现总部统一密钥管理系统IMS健康运行时长及在线用户数指标缺失，URL探测异常。经运检中心应急处置后，监控指标及系统探测恢复正常。,应用软件,运行维护不当,内存溢出,在系统运行过程中，jdk的libjvm.so库发生异常，引起jvm异常，导致统一密钥系统服务down掉，并引起系统告警。,服务启动后登录页面显示不全，发现启动脚本中没有设置后台启动，手动执行后台启动服务，更换IE版本，指标取数正常，URL探测正常，告警恢复。
173,信息系统运行异常,信息系统侧IMS接口非计划不可用,4月1日10：05-13:40，国网信通调度监控发现国网四川电力应急指挥系统监控状态异常，期间，URL探测指标中断，健康运行时长和在线用户数指标正常。,应用软件,运行维护不当,应用节点配置不合理,经查，由于配置文件与探测取数接口的系统名称配置字段不一致，导致业务探测指标入库失败，经重新配置系统名称字段后，探测指标恢复正常。,重新配置系统名称字段
174,信息系统监控接口异常,信息系统侧IMS接口非计划不可用,5月17日11:40，国网信通调度监控发现总部电力交易运营系统IMS健康运行时长及在线用户数指标缺失，URL探测正常。12:40，经运检手动重启定时任务后，监控指标恢复正常。,应用软件,运行维护不当,进程异常,定时任务为由UAP自带组件“任务调度”开发，定时进程卡住，造成IMS取数据失败。,运检手动重启定时任务后，监控指标恢复正常。
175,信息系统监控接口异常,信息系统侧IMS接口非计划不可用,1月25日13:20-14:10，国网天津电力干部管理、乡镇供电、mds、统一权限、凭证协同、资产全寿命、海量平台、BPM、营销稽查、营销基础数据系统健康运行时长及在线用户数指标异常，URL探测正常。,主机,运行维护不当,内存溢出,IMS主用服务起取数程序内存溢出造成服务挂起，备机判断主机运行正常，未发生备切换,经手动切换后，指标恢复正常。
176,信息系统运行异常,不影响用户使用但系统有告警,8月22日7:10起，国网信通调度监控发现总部企业管理系统IMS在线用户数和健康运行时长指标出现间歇性中断，URL探测正常。,应用软件,运行维护不当,会话时长配置不合理,IMS取数程序需在一个取数周期内获取接入企业管理系统的51家单位数据，由于取数间隔时长设置过小，IMS接口执行指标查询语句时间较长，导致IMS取数程序时而能取到数，时而不能取到数。,增加IMS取数间隔时长后，系统监控恢复正常。
177,信息系统监控接口异常,不影响用户使用但系统有告警,6月30日19:00-19:45，国网河南电力MDS系统监控状态异常(上报紧急抢修)期间，系统URL探测异常，在线用户数及健康运行时长正常,网络,操作不当等问题,检修操作不当,经查，由于IMS系统中将MDS系统探测地址错误配置为生产调度平台地址，在6月30日进行生产调度平台补丁升级，在系统重启后发现MDS系统监控异常，在对MDS系统探测地址进行更改后，系统监控恢复正常。,
178,信息系统运行异常,不影响用户使用但系统有告警,7月6日07:50-08:40，国网陕西电力所有系统监控异常。期间，所有系统URL探测异常，健康运行时长指标及在线用户数指标异常。,主机,运行维护不当,cpu负载高,经查，近期因I6000系统建设和实用化需要，各单位对设备台帐进行集中维护，台账导入导出操作频繁，导致10.208.103.102服务器的内存和CPU负载过高，I6000系统向IMS总线转发数据的程序接口PASSendServer程序响应缓慢，进而导致IMS系统未能及时接收到I6000的数据，指标数据出现短暂中断。,
179,信息系统运行异常,不影响用户使用但系统有告警,"1月10日14:00，国网信通调度接到95598北方分中心申告，新疆用户拨打95598接通后，IVR播报语音断断续续，转入人工后用户听不清座席声音。经排查，国网一、二、三级传输网及数据网运行正常，95598系统运行正常。18:25,语音业务自动恢复正常。",未查清,运行维护不当,系统自动恢复,经查，信通公司数据网、传输网均正常，该故障当时已转回北方分中心组织排查，无需信通公司跟进。,系统自行恢复
180,信息系统运行异常,不影响用户使用但系统有告警,"6月6日15:10，国网信通调度监控发现一级部署协同办公系统多个domino节点告警，同时接重庆、甘肃调度申告一级部署协同办公运行缓慢。
",无报告,无报告,未持续跟踪,"15:20，告警自动消除，经验证重庆、甘肃访问一级部署协同办公系统恢复正常。具体原因正在核查。
",
